eta,iteration,inside_ratio,layout_loss,grad_norm,relative_update,latent_norm,delta_ratio_vs_initial,delta_loss_vs_initial,cumulative_update_norm,cumulative_relative_update
100.0,0,0.10536722838878632,0.8946327567100525,0.0005707740783691406,0.0001277923583984375,446.75,0.0,0.0,0.0,0.0
100.0,1,0.10539304465055466,0.8946069478988647,0.0005745887756347656,0.00012862682342529297,446.75,2.5816261768341064e-05,-2.580881118774414e-05,0.052947998046875,0.00011849403381347656
100.0,2,0.10541985183954239,0.8945801258087158,0.0005660057067871094,0.00012671947479248047,446.75,5.2623450756073e-05,-5.263090133666992e-05,0.10260009765625,0.00022971630096435547
100.0,3,0.105447918176651,0.8945521116256714,0.0005764961242675781,0.0001289844512939453,446.75,8.068978786468506e-05,-8.064508438110352e-05,0.151611328125,0.00033926963806152344
100.0,4,0.1054731011390686,0.8945268988609314,0.000583648681640625,0.00013065338134765625,446.75,0.0001058727502822876,-0.00010585784912109375,0.201416015625,0.0004508495330810547
100.0,5,0.10550526529550552,0.8944947123527527,0.0005784034729003906,0.00012946128845214844,446.75,0.00013803690671920776,-0.0001380443572998047,0.251953125,0.0005640983581542969
100.0,6,0.10553126782178879,0.8944687247276306,0.0005779266357421875,0.00012934207916259766,446.75,0.00016403943300247192,-0.000164031982421875,0.302001953125,0.0006761550903320312
100.0,7,0.10556061565876007,0.8944393992424011,0.0005784034729003906,0.00012946128845214844,446.75,0.00019338726997375488,-0.0001933574676513672,0.352294921875,0.0007886886596679688
100.0,8,0.10559020936489105,0.8944097757339478,0.0005841255187988281,0.00013077259063720703,446.75,0.00022298097610473633,-0.00022298097610473633,0.402587890625,0.0009012222290039062
100.0,9,0.10562259703874588,0.8943774104118347,0.0005803108215332031,0.00012993812561035156,446.75,0.0002553686499595642,-0.00025534629821777344,0.452880859375,0.0010137557983398438
100.0,10,0.10564938187599182,0.8943506479263306,0.0005741119384765625,0.0001285076141357422,446.75,0.00028215348720550537,-0.00028210878372192383,0.50244140625,0.0011243820190429688
100.0,11,0.10567806661128998,0.8943219184875488,0.0005803108215332031,0.00012981891632080078,446.75,0.0003108382225036621,-0.0003108382225036621,0.55224609375,0.0012359619140625
100.0,12,0.10570461302995682,0.8942953944206238,0.0005755424499511719,0.00012886524200439453,446.75,0.0003373846411705017,-0.00033736228942871094,0.6025390625,0.0013484954833984375
100.0,13,0.10573407262563705,0.8942659497261047,0.0005712509155273438,0.0001277923583984375,446.75,0.0003668442368507385,-0.0003668069839477539,0.65234375,0.0014600753784179688
100.0,14,0.10576276481151581,0.894237220287323,0.0005674362182617188,0.00012695789337158203,446.75,0.0003955364227294922,-0.0003955364227294922,0.70166015625,0.0015707015991210938
100.0,15,0.10579181462526321,0.8942081928253174,0.0005688667297363281,0.00012731552124023438,446.75,0.0004245862364768982,-0.0004245638847351074,0.75048828125,0.0016794204711914062
100.0,16,0.10581910610198975,0.8941808938980103,0.0005717277526855469,0.00012791156768798828,446.75,0.0004518777132034302,-0.00045186281204223633,0.79931640625,0.001789093017578125
100.0,17,0.1058477833867073,0.8941522240638733,0.0005688667297363281,0.00012731552124023438,446.75,0.00048055499792099,-0.0004805326461791992,0.84765625,0.0018978118896484375
100.0,18,0.1058727353811264,0.8941272497177124,0.0005664825439453125,0.00012683868408203125,446.75,0.0005055069923400879,-0.0005055069923400879,0.89599609375,0.00200653076171875
100.0,19,0.10590121895074844,0.8940987586975098,0.0005617141723632812,0.00012576580047607422,446.75,0.0005339905619621277,-0.0005339980125427246,0.94482421875,0.0021152496337890625
100.0,20,0.1059281975030899,0.8940718173980713,0.0005617141723632812,0.00012576580047607422,446.75,0.0005609691143035889,-0.0005609393119812012,0.99267578125,0.0022220611572265625
